"Year" "Model" "q"
1982 "CV10%" 0.937639245130963
1983 "CV10%" 0.885257524322525
1984 "CV10%" 0.818572808911727
1985 "CV10%" 1.26595603693302
1986 "CV10%" 0.725498958427628
1987 "CV10%" 1.22792161306264
1988 "CV10%" 1.21536682337387
1989 "CV10%" 1.20805896488787
1990 "CV10%" 1.19137826682415
1991 "CV10%" 1.15197307656687
1992 "CV10%" 1.11216844139393
1993 "CV10%" 1.07732436480934
1994 "CV10%" 1.02555187350619
1995 "CV10%" 0.955228285855376
1996 "CV10%" 0.861475856784941
1997 "CV10%" 0.821142199603363
1998 "CV10%" 0.789187764581536
1999 "CV10%" 0.810841472216846
2000 "CV10%" 0.844124832530751
2001 "CV10%" 0.862668110819179
2002 "CV10%" 0.901042475487662
2003 "CV10%" 0.924235472120181
2004 "CV10%" 0.937520526453601
2005 "CV10%" 0.965887051399351
2006 "CV10%" 0.961356920405871
2007 "CV10%" 1.01493393560492
2008 "CV10%" 1.04585363600832
2009 "CV10%" 1.06756018793295
2010 "CV10%" 1.09942457049463
2011 "CV10%" 1.09122493205122
2012 "CV10%" 1.08095657722111
2013 "CV10%" 1.08416791744375
2014 "CV10%" 1.0853940497347
2015 "CV10%" 1.05896973339481
2016 "CV10%" 1.02255929416342
2017 "CV10%" 0.969303977624251
2018 "CV10%" 0.938282352892965
2019 "CV10%" 0.963989869023558
1982 "CV05%" 0.901131716370656
1983 "CV05%" 0.865221371962079
1984 "CV05%" 0.831281117811842
1985 "CV05%" 1.33029743804425
1986 "CV05%" 0.766816979744804
1987 "CV05%" 1.25561734182648
1988 "CV05%" 1.22567230142521
1989 "CV05%" 1.19937304690042
1990 "CV05%" 1.17145080931132
1991 "CV05%" 1.14045964020829
1992 "CV05%" 1.10874044111666
1993 "CV05%" 1.07853548472674
1994 "CV05%" 1.04404589283009
1995 "CV05%" 1.00434770387012
1996 "CV05%" 0.95879510618116
1997 "CV05%" 0.935690928621409
1998 "CV05%" 0.91843784453569
1999 "CV05%" 0.9190263022906
2000 "CV05%" 0.924541726200212
2001 "CV05%" 0.928043132723301
2002 "CV05%" 0.939096690038981
2003 "CV05%" 0.945804279631217
2004 "CV05%" 0.950917728877263
2005 "CV05%" 0.960694913034406
2006 "CV05%" 0.963378943447788
2007 "CV05%" 0.97863143692956
2008 "CV05%" 0.988332038697191
2009 "CV05%" 0.995016421504726
2010 "CV05%" 1.00354789861169
2011 "CV05%" 1.00046819251916
2012 "CV05%" 0.995892477627176
2013 "CV05%" 0.993810829039526
2014 "CV05%" 0.98952072336211
2015 "CV05%" 0.979041036679527
2016 "CV05%" 0.967061860179785
2017 "CV05%" 0.951211460466475
2018 "CV05%" 0.942615833176091
2019 "CV05%" 0.947430909475986
2007 "Layers" 1.20595533498759
2008 "Layers" 1.28039702233251
2009 "Layers" 1.3697270471464
2010 "Layers" 1.07196029776675
2011 "Layers" 1.0272952853598
2012 "Layers" 0.803970223325062
2013 "Layers" 0.893300248138958
2014 "Layers" 1.1166253101737
2015 "Layers" 0.967741935483871
2016 "Layers" 0.744416873449132
2017 "Layers" 0.78908188585608
2018 "Layers" 0.729528535980149
