"BARCODE","T_TABLE","CRUISE","PERMIT","VESSEL","GEAR","NMFS_AREA","LATDD_START","LONDD_START","LATDD_END","LONDD_END","LENGTH_SEQ","PERFORMANCE","FISHING_DEPTH_FATHOMS","BOTTOM_DEPTH_FATHOMS","LENGTH","WEIGHT","SPECIES","SEX","HAUL_OFFLOAD_DATE","HAUL_OFFLOAD","SPECIMEN_NUMBER","AGE","MATURITY_CODE","MATURITY_DESCRIPTION","SPECIMEN_TYPE","SPECIMEN_TYPE_DESCRIPTION","HAUL_JOIN","PORT_JOIN","YEAR","VIABILITY","INJURY","SPECIAL_PROJECT_CODE","SAMPLE_SYSTEM","ADIPOSE_PRESENT","LANDING_REPORT_ID","HAUL_PURPOSE_CODE"
1353265,"ATL_OFFLOAD",24307,"5306","P001",2,519,NA,NA,NA,NA,8477,NA,NA,NA,34,NA,201,"M",2020-10-08,103,263,NA,NA,NA,1,"Otoliths",NA,2.4307005306e+19,2020,NA,NA,NA,6,NA,6558033,NA
698606,"ATL_HAUL",24408,"3245","A045",2,517,55.76333,-168.71167,55.69167,-168.815,813,1,118,132,48,NA,201,"F",2020-07-26,218,698606,NA,NA,NA,1,"Otoliths",2.4408003245e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
697978,"ATL_HAUL",24406,"3681","A074",2,524,60.15,-178.92,60.33167,-178.61667,3181,1,162,172,52,NA,201,"F",2020-09-08,365,36508,NA,NA,NA,1,"Otoliths",2.4406003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
659809,"ATL_HAUL",24383,"3261","A041",2,524,60.72,-178.78333,60.52833,-178.645,699,1,97,108,45,NA,201,"F",2020-07-13,207,20709,NA,NA,NA,1,"Otoliths",2.4383003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362651,"ATL_HAUL",24441,"3671","A105",2,524,60.595,-177.11833,60.62167,-177.42,1216,1,65,75,49,NA,201,"F",2020-08-30,337,135,NA,NA,NA,1,"Otoliths",2.4441003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1128044,"ATL_HAUL",24510,"3442","A136",2,521,56.595,-172.21,56.475,-171.42833,2636,5,76,94,50,NA,201,"M",2020-10-03,494,49401,NA,NA,NA,1,"Otoliths",2.4510003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1268696,"ATL_HAUL",24402,"1607","A255",2,517,54.66667,-165.46667,54.6,-165.53333,4653,1,105,116,47,NA,201,"M",2020-08-29,613,61301,NA,NA,NA,1,"Otoliths",2.4402001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1265271,"ATL_HAUL",24276,"1650","A095",2,509,55.88333,-163.11667,55.85,-163.55,727,1,38,46,47,NA,201,"F",2020-07-27,116,108,NA,NA,NA,1,"Otoliths",2.427600165e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1328820,"ATL_HAUL",24330,"3414","A091",2,521,58.75333,-175.00833,58.88333,-174.815,1806,1,64,76,28,NA,201,"F",2020-08-08,379,37901,NA,NA,NA,1,"Otoliths",2.4330003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341450,"ATL_HAUL",24381,"3357","A039",2,524,60.05,-174.95,60.05,-175.11667,1197,1,52,62,44,NA,201,"M",2020-07-28,451,45109,NA,NA,NA,1,"Otoliths",2.4381003357e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1345835,"ATL_HAUL",24443,"3261","A041",2,524,60.43,-178.56333,60.495,-178.735,1904,1,113,127,46,NA,201,"M",2020-09-15,376,1345835,NA,NA,NA,1,"Otoliths",2.4443003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1259250,"ATL_HAUL",24343,"2657","A150",2,521,57.13,-171.71833,57.13361,-171.67833,77,1,48,59,50,NA,201,"F",2020-06-24,60,5,NA,NA,NA,1,"Otoliths",2.4343002657e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1198268,"ATL_HAUL",24349,"4194","A574",2,517,56.31667,-170.33333,56.25,-169.96667,33,1,52,63,47,NA,201,"M",2020-06-12,64,301,NA,NA,NA,1,"Otoliths",2.4349004194e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1329196,"ATL_HAUL",24302,"34279","78139",2,517,54.7,-165.76667,54.78333,-165.6,780,1,140,155,44,NA,201,"M",2020-08-19,98,103,NA,NA,NA,1,"Otoliths",2.4302034279e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1073595,"ATL_HAUL",24225,"3870","A225",2,521,56.14333,-170.80167,56.23667,-170.97833,1655,1,88,106,51,NA,201,"F",2020-08-02,261,26109,NA,NA,NA,1,"Otoliths",2.422500387e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1198224,"ATL_HAUL",24318,"1222","A093",2,517,55.44,-167.72833,55.28,-167.35333,629,1,67,79,49,NA,201,"F",2020-07-31,110,11009,NA,NA,NA,1,"Otoliths",2.4318001222e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1314129,"ATL_HAUL",24364,"4111","A291",2,521,56.725,-171.88,56.7,-171.80333,755,1,56,66,47,NA,201,"F",2020-06-21,581,58109,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1334752,"ATL_HAUL",24322,"425","A102",2,521,56.26167,-170.695,56.22667,-170.775,24,1,50,65,49,NA,201,"M",2020-09-09,117,124,NA,NA,NA,1,"Otoliths",2.4322000425e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1328900,"ATL_HAUL",24330,"3414","A091",2,521,59.395,-177.49,59.29,-177.48667,1214,1,90,102,44,NA,201,"F",2020-07-23,344,34410,NA,NA,NA,1,"Otoliths",2.4330003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1368301,"ATL_HAUL",24364,"4111","A291",2,517,55.06167,-165.51167,55.43333,-165.225,6709,1,50,64,32,NA,201,"F",2020-09-30,984,98408,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
698696,"ATL_HAUL",24408,"3245","A045",2,521,58.61833,-176.91167,58.64333,-177.02,187,1,80,100,56,NA,201,"M",2020-07-13,183,698696,NA,NA,NA,1,"Otoliths",2.4408003245e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1334710,"ATL_HAUL",24349,"4194","A574",2,517,56.26667,-169.88333,56.23333,-169.83333,1391,1,56,70,54,NA,201,"F",2020-08-21,150,1510,NA,NA,NA,1,"Otoliths",2.4349004194e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1353757,"ATL_HAUL",24294,"3010","A063",2,517,54.33722,-165.89167,54.51111,-165.65556,1211,1,150,165,52,NA,201,"F",2020-08-03,116,155,NA,NA,NA,1,"Otoliths",2.429400301e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
635729,"ATL_HAUL",24406,"3681","A074",2,524,60.54667,-175.75833,60.58333,-175.795,2569,1,50,59,24,NA,201,"M",2020-08-26,325,32509,NA,NA,NA,1,"Otoliths",2.4406003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
649608,"ATL_HAUL",24183,"4063","A282",2,521,59.51167,-174.02,59.53333,-173.74833,1776,1,43,57,46,NA,201,"M",2020-07-21,260,26001,NA,NA,NA,1,"Otoliths",2.4183004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341285,"ATL_HAUL",24507,"3396","A069",2,523,56.85833,-172.60667,56.84333,-172.78833,308,1,58,68,47,NA,201,"F",2020-09-15,417,4179,NA,NA,NA,1,"Otoliths",2.4507003396e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
658321,"ATL_HAUL",24283,"4620","A359",2,517,55.5525,-168.40611,55.49083,-168.1825,878,1,75,87,47,NA,201,"F",2020-07-27,135,658321,NA,NA,NA,1,"Otoliths",2.428300462e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1351205,"ATL_HAUL",24432,"2943","A054",2,524,60.03333,-178.98333,60.13333,-178.93333,1231,1,133,145,47,NA,201,"F",2020-08-15,263,26309,NA,NA,NA,1,"Otoliths",2.4432002943e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1370690,"ATL_HAUL",24345,"1641","A060",2,517,54.65,-165.43333,54.63333,-165.48333,481,4,105,120,53,NA,201,"F",2020-08-04,103,80,NA,NA,NA,1,"Otoliths",2.4345001641e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362204,"ATL_HAUL",24402,"1607","A255",2,517,54.7,-165.48333,54.55,-165.6,5638,1,124,134,48,NA,201,"M",2020-09-07,663,66301,NA,NA,NA,1,"Otoliths",2.4402001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1371883,"ATL_HAUL",24281,"236","A188",2,517,54.73,-165.39778,54.67333,-165.405,36,1,75,110,34,NA,201,"F",2020-06-09,60,502,NA,NA,NA,1,"Otoliths",2.4281000236e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
668154,"ATL_HAUL",24327,"411","A082",2,517,55.34,-167.77833,55.34333,-167.65167,624,1,82,92,54,NA,201,"F",2020-07-27,100,78,NA,NA,NA,1,"Otoliths",2.4327000411e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1376425,"ATL_HAUL",24364,"4111","A291",2,524,60.14167,-176.46667,60.145,-176.47167,2837,1,63,73,25,NA,201,"F",2020-08-01,737,73707,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1184984,"ATL_HAUL",24510,"3442","A136",2,524,60.91833,-176.175,60.96167,-176.40333,549,1,51,59,43,NA,201,"M",2020-09-01,413,41309,NA,NA,NA,1,"Otoliths",2.4510003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1404408,"ATL_HAUL",24534,"4055","A262",2,524,60.1,-179.03333,60.11667,-178.95,510,1,150,172,52,NA,201,"F",2020-10-02,347,34709,NA,NA,NA,1,"Otoliths",2.4534004055e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1214469,"ATL_HAUL",24323,"2811","A300",2,517,55.56639,-168.32444,55.54139,-168.32778,831,1,80,90,48,NA,201,"M",2020-08-01,98,98011,NA,NA,NA,1,"Otoliths",2.4323002811e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1386279,"ATL_HAUL",24404,"4055","A262",2,524,60.21667,-175.53333,60.2,-175.66667,1211,1,50,61,27,NA,201,"M",2020-08-24,254,25401,NA,NA,NA,1,"Otoliths",2.4404004055e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1340242,"ATL_HAUL",24336,"4133","A503",2,521,57.31556,-171.57667,57.47028,-171.71611,255,1,54,55,50,NA,201,"F",2020-07-15,36,52,NA,NA,NA,1,"Otoliths",2.4336004133e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341364,"ATL_HAUL",24364,"4111","A291",2,521,59.36167,-174.35833,59.34167,-174.32833,3515,1,54,64,28,NA,201,"M",2020-08-17,782,78210,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1323268,"ATL_OFFLOAD",24307,"5306","P001",2,519,NA,NA,NA,NA,9150,NA,NA,NA,38,NA,201,"F",2020-10-15,137,387,NA,NA,NA,1,"Otoliths",NA,2.4307005306e+19,2020,NA,NA,NA,6,NA,6559640,NA
1346242,"ATL_HAUL",24408,"3245","A045",2,524,60.46833,-175.04667,60.505,-174.915,2308,1,43,55,36,NA,201,"F",2020-08-26,293,1346242,NA,NA,NA,1,"Otoliths",2.4408003245e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
634158,"ATL_HAUL",24183,"4063","A282",2,524,60.08167,-178.51333,60.05,-178.095,132,1,64,76,43,NA,201,"M",2020-06-14,165,16501,NA,NA,NA,1,"Otoliths",2.4183004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1314694,"ATL_OFFLOAD",24352,"5306","P001",2,521,NA,NA,NA,NA,390,NA,NA,NA,50,NA,201,"M",2020-06-23,60,88,NA,NA,NA,1,"Otoliths",NA,2.4352005306e+19,2020,NA,NA,NA,6,NA,6244634,NA
1338434,"ATL_HAUL",24500,"4194","A574",2,519,54.35,-165.81667,54.4,-165.73333,569,1,65,110,33,NA,201,"M",2020-10-11,193,1338434,NA,NA,NA,1,"Otoliths",2.4500004194e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1353062,"ATL_HAUL",24362,"1292","A297",2,517,55.62944,-168.60056,55.76167,-168.6825,267,1,75,85,47,NA,201,"F",2020-07-26,73,37,NA,NA,NA,1,"Otoliths",2.4362001292e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1392036,"ATL_HAUL",24488,"2657","A150",2,517,54.76,-165.47833,54.70167,-165.495,298,1,110,124,36,NA,201,"M",2020-10-03,171,17102,NA,NA,NA,1,"Otoliths",2.4488002657e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1370513,"ATL_OFFLOAD",24310,"5310","P009",2,521,NA,NA,NA,NA,585,NA,NA,NA,50,NA,201,"M",2020-07-21,54,86,NA,NA,NA,1,"Otoliths",NA,2.431000531e+19,2020,NA,NA,NA,6,NA,6448491,NA
1097994,"ATL_HAUL",24183,"4063","A282",2,521,59.22833,-174.87667,59.04,-174.62167,1590,1,54,68,47,NA,201,"F",2020-07-18,250,25001,NA,NA,NA,1,"Otoliths",2.4183004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1038911,"ATL_HAUL",24305,"208","A053",2,521,56.28389,-170.75944,56.37056,-170.99806,192,1,59,69,49,NA,201,"M",2020-06-26,74,30,NA,NA,NA,1,"Otoliths",2.4305000208e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341423,"ATL_HAUL",24382,"3357","A039",2,517,54.785,-165.47,54.67167,-165.60833,1382,1,90,101,51,NA,201,"M",2020-09-16,577,57709,NA,NA,NA,1,"Otoliths",2.4382003357e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
697916,"ATL_HAUL",24406,"3681","A074",2,524,60.815,-176.81167,60.62667,-176.64833,2947,1,54,65,35,NA,201,"M",2020-09-03,350,35011,NA,NA,NA,1,"Otoliths",2.4406003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
684716,"ATL_OFFLOAD",24348,"5358","P015",2,509,NA,NA,NA,NA,711,NA,NA,NA,49,NA,201,"M",2020-07-30,25,684716,NA,NA,NA,1,"Otoliths",NA,2.4348005358e+19,2020,NA,NA,NA,6,NA,6474657,NA
1368315,"ATL_HAUL",24364,"4111","A291",2,517,54.74833,-165.845,54.75167,-165.73,8197,1,90,121,33,NA,201,"M",2020-10-23,1083,108306,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341398,"ATL_HAUL",24364,"4111","A291",2,524,60.45833,-175.32833,60.36667,-175.325,2975,1,45,55,30,NA,201,"F",2020-08-03,747,74709,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1314124,"ATL_HAUL",24364,"4111","A291",2,521,59.84833,-174.94667,59.71833,-174.90167,2201,1,52,62,35,NA,201,"F",2020-07-26,692,69208,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1327145,"ATL_HAUL",24432,"2943","A054",2,524,60.28333,-176.31667,60.1,-175.81667,759,1,57,69,35,NA,201,"M",2020-08-01,233,233010,NA,NA,NA,1,"Otoliths",2.4432002943e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1406508,"ATL_HAUL",24471,"3002","A007",2,517,54.77694,-165.67528,54.7775,-165.83806,606,1,95,106,34,NA,201,"F",2020-09-29,125,120,NA,NA,NA,1,"Otoliths",2.4471003002e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1392843,"ATL_HAUL",24517,"3794","A115",2,524,59.96,-178.88833,60.10167,-178.94,2775,5,71,100,48,NA,201,"F",2020-10-28,637,424,NA,NA,NA,1,"Otoliths",2.4517003794e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
674698,"ATL_HAUL",24328,"425","A102",2,521,56.655,-170.9,56.80667,-171.26,45,1,45,60,47,NA,201,"M",2020-06-19,49,10,NA,NA,NA,1,"Otoliths",2.4328000425e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1364136,"ATL_OFFLOAD",24310,"5310","P009",2,509,NA,NA,NA,NA,924,NA,NA,NA,51,NA,201,"F",2020-07-30,68,136,NA,NA,NA,1,"Otoliths",NA,2.431000531e+19,2020,NA,NA,NA,6,NA,6473023,NA
1272230,"ATL_HAUL",24517,"3794","A115",2,517,55.49,-168.175,55.57,-168.455,27,1,69,94,59,NA,201,"M",2020-09-11,504,9,NA,NA,NA,1,"Otoliths",2.4517003794e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1353267,"ATL_HAUL",24418,"533","A013",2,517,54.75556,-165.54861,54.73194,-165.38417,742,1,90,125,51,NA,201,"F",2020-09-01,100,10008,NA,NA,NA,1,"Otoliths",2.4418000533e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
813079,"ATL_HAUL",24440,"1688","A376",2,509,55.46,-163.79,55.42833,-163.96833,46,1,38,48,51,NA,201,"M",2020-07-24,68,19,NA,NA,NA,1,"Otoliths",2.4440001688e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1368327,"ATL_HAUL",24364,"4111","A291",2,524,60.38167,-178.09,60.35333,-178.48167,5443,1,95,105,51,NA,201,"F",2020-09-07,897,89707,NA,NA,NA,1,"Otoliths",2.4364004111e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1286236,"ATL_HAUL",24510,"3442","A136",2,523,56.695,-172.76,56.655,-172.515,1494,2,57,73,46,NA,201,"F",2020-09-16,448,44801,NA,NA,NA,1,"Otoliths",2.4510003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
656142,"ATL_HAUL",24283,"4620","A359",2,517,54.47722,-165.70222,54.73306,-165.32083,2099,1,95,120,39,NA,201,"F",2020-09-25,210,656142,NA,NA,NA,1,"Otoliths",2.428300462e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1326361,"ATL_HAUL",24402,"1607","A255",2,523,56.73333,-173.2,56.71667,-173.26667,1292,1,68,78,45,NA,201,"M",2020-07-26,425,42501,NA,NA,NA,1,"Otoliths",2.4402001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1327773,"ATL_HAUL",24388,"1167","A022",2,517,54.55167,-165.56333,54.57167,-165.55167,436,1,75,85,33,NA,201,"F",2020-08-21,99,65,NA,NA,NA,1,"Otoliths",2.4388001167e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1336474,"ATL_OFFLOAD",24352,"5306","P001",2,521,NA,NA,NA,NA,4861,NA,NA,NA,51,NA,201,"M",2020-08-28,382,787,NA,NA,NA,1,"Otoliths",NA,2.4352005306e+19,2020,NA,NA,NA,6,NA,6532476,NA
1362679,"ATL_HAUL",24441,"3671","A105",2,521,58.45667,-175.51333,58.62167,-175.945,560,1,71,91,52,NA,201,"F",2020-08-10,292,47,NA,NA,NA,1,"Otoliths",2.4441003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1239179,"ATL_HAUL",24511,"512","A342",2,517,56.41,-169.78,56.395,-169.90667,48,1,40,53,49,NA,201,"M",2020-09-03,134,13407,NA,NA,NA,1,"Otoliths",2.4511000512e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1363991,"ATL_HAUL",24225,"3870","A225",2,521,58.58833,-176.49667,58.59,-176.38333,2397,1,100,120,51,NA,201,"F",2020-08-13,301,30101,NA,NA,NA,1,"Otoliths",2.422500387e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1370608,"ATL_HAUL",24345,"1641","A060",2,517,55.36667,-168.01667,55.4,-168.05,409,4,130,150,50,NA,201,"F",2020-07-30,98,70,NA,NA,NA,1,"Otoliths",2.4345001641e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1240829,"ATL_HAUL",24183,"4063","A282",2,524,60.86833,-177.055,60.665,-177.08167,3575,1,59,69,32,NA,201,"M",2020-09-04,360,36002,NA,NA,NA,1,"Otoliths",2.4183004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1406540,"ATL_HAUL",24471,"3002","A007",2,521,56.36972,-170.27667,56.49611,-170.38583,116,2,50,60,49,NA,201,"F",2020-08-24,95,26,NA,NA,NA,1,"Otoliths",2.4471003002e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1285722,"ATL_HAUL",24544,"823","A014",2,517,54.68333,-165.46667,54.65,-165.46667,3,1,124,136,35,NA,201,"M",2020-09-24,1,12,NA,NA,NA,1,"Otoliths",2.4544000823e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1365951,"ATL_HAUL",24527,"3357","A039",2,521,56.455,-170.405,56.48833,-170.41167,43,1,52,62,45,NA,201,"M",2020-09-24,594,59402,NA,NA,NA,1,"Otoliths",2.4527003357e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1353510,"ATL_HAUL",24332,"543","A134",2,517,54.45667,-165.675,54.78,-165.43333,53,1,100,117,42,NA,201,"M",2020-06-09,57,1353510,NA,NA,NA,1,"Otoliths",2.4332000543e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
697922,"ATL_HAUL",24407,"3681","A074",2,521,56.46167,-171.24833,56.4,-171.16833,1355,1,50,71,52,NA,201,"F",2020-10-13,449,44901,NA,NA,NA,1,"Otoliths",2.4407003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341240,"ATL_HAUL",24284,"3396","A069",2,521,59.86333,-175.34,59.84833,-175.20667,2314,1,54,64,30,NA,201,"F",2020-08-23,391,3919,NA,NA,NA,1,"Otoliths",2.4284003396e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
658326,"ATL_HAUL",24283,"4620","A359",2,517,56.365,-170.09,56.32722,-169.93,1704,1,44,57,49,NA,201,"M",2020-09-03,185,658326,NA,NA,NA,1,"Otoliths",2.428300462e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1289640,"ATL_OFFLOAD",24310,"5310","P009",2,521,NA,NA,NA,NA,303,NA,NA,NA,46,NA,201,"M",2020-07-07,36,45,NA,NA,NA,1,"Otoliths",NA,2.431000531e+19,2020,NA,NA,NA,6,NA,6333628,NA
694388,"ATL_HAUL",24312,"515","A238",2,521,56.95,-171.4,57.2,-171.48333,76,1,49,54,42,NA,201,"M",2020-06-25,57,21,NA,NA,NA,1,"Otoliths",2.4312000515e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1334797,"ATL_HAUL",24511,"512","A342",2,519,54.08,-166.58833,54.08667,-166.55833,276,2,45,57,50,NA,201,"F",2020-09-20,151,15105,NA,NA,NA,1,"Otoliths",2.4511000512e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1327176,"ATL_HAUL",24522,"2943","A054",2,523,56.5,-171.83333,56.48333,-171.88333,1577,1,134,150,48,NA,201,"M",2020-10-02,367,367010,NA,NA,NA,1,"Otoliths",2.4522002943e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362605,"ATL_HAUL",24441,"3671","A105",2,517,55.26833,-167.79,55.245,-167.67167,33,1,120,135,53,NA,201,"F",2020-08-03,272,5,NA,NA,NA,1,"Otoliths",2.4441003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1345831,"ATL_HAUL",24443,"3261","A041",2,524,60.49667,-176.92833,60.76333,-177.06167,482,1,59,70,29,NA,201,"F",2020-08-18,301,3011,NA,NA,NA,1,"Otoliths",2.4443003261e+19,NA,2020,NA,NA,NA,5,NA,NA,"CA"
1379049,"ATL_HAUL",24302,"34279","78139",2,521,56.86667,-171.08333,56.81667,-171.06667,133,1,50,60,42,NA,201,"M",2020-06-20,55,19,NA,NA,NA,1,"Otoliths",2.4302034279e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
