Age	Year	N	Source
8	2003	1228389.113	VAST
8	2004	665713.8448	VAST
8	2005	453645.6721	VAST
8	2006	357330.1072	VAST
8	2007	810122.4429	VAST
8	2008	556969.3688	VAST
8	2009	386844.5255	VAST
8	2010	330346.5175	VAST
8	2011	145328.1199	VAST
8	2012	145790.0914	VAST
8	2013	234902.099	VAST
8	2014	728512.0307	VAST
8	2015	1393131.276	VAST
8	2016	2277469.121	VAST
8	2017	1023076.375	VAST
8	2018	525234.6575	VAST
9	1982	34433.94021	VAST
9	1983	94716.00434	VAST
9	1984	90579.98713	VAST
9	1985	87083.6256	VAST
9	1986	465415.2014	VAST
9	1987	1568119.664	VAST
9	1988	598651.7396	VAST
9	1989	652625.0365	VAST
9	1990	264916.3129	VAST
9	1991	1472439.242	VAST
9	1992	371772.3105	VAST
9	1993	622589.627	VAST
9	1994	181113.1082	VAST
9	1995	224211.0436	VAST
9	1996	90571.09125	VAST
9	1997	167655.1952	VAST
9	1998	374904.8005	VAST
9	1999	323436.8323	VAST
9	2000	931525.83	VAST
9	2001	847370.335	VAST
9	2002	528420.1312	VAST
9	2003	535674.8905	VAST
9	2004	326235.995	VAST
9	2005	344124.471	VAST
9	2006	207153.0717	VAST
9	2007	335525.7876	VAST
9	2008	351925.6064	VAST
9	2009	277789.7489	VAST
9	2010	336952.7924	VAST
9	2011	225424.745	VAST
9	2012	103041.8666	VAST
9	2013	79636.82228	VAST
9	2014	400540.1602	VAST
9	2015	350782.4173	VAST
9	2016	461772.9597	VAST
9	2017	1304755.827	VAST
9	2018	589384.2391	VAST
11	1982	13077.40799	VAST
11	1983	62233.7373	VAST
11	1984	21213.40882	VAST
11	1985	24826.99199	VAST
11	1986	34275.51757	VAST
11	1987	77917.52183	VAST
11	1988	133295.2989	VAST
11	1989	804740.0101	VAST
11	1990	76061.24471	VAST
11	1991	540147.3059	VAST
11	1992	250760.5267	VAST
11	1993	327334.1376	VAST
11	1994	203512.553	VAST
11	1995	271989.6023	VAST
11	1996	69054.42704	VAST
11	1997	61779.34278	VAST
11	1998	41911.71921	VAST
11	1999	111790.6076	VAST
11	2000	217069.8076	VAST
11	2001	236414.925	VAST
11	2002	509407.0819	VAST
11	2003	1412832.546	VAST
11	2004	207244.7703	VAST
11	2005	68438.14383	VAST
11	2006	85379.14019	VAST
11	2007	134258.1886	VAST
11	2008	114114.6429	VAST
11	2009	85679.11335	VAST
11	2010	193191.108	VAST
11	2011	187758.9988	VAST
11	2012	115591.471	VAST
11	2013	95450.24716	VAST
11	2014	56492.12343	VAST
11	2015	22589.69189	VAST
11	2016	63757.06611	VAST
11	2017	143735.5961	VAST
11	2018	174492.8225	VAST
10	1982	21406.39178	VAST
10	1983	84650.24142	VAST
10	1984	31122.19092	VAST
10	1985	71515.19019	VAST
10	1986	74359.95898	VAST
10	1987	252790.976	VAST
10	1988	1418830.219	VAST
10	1989	247766.8733	VAST
10	1990	496348.6064	VAST
10	1991	385339.7179	VAST
10	1992	700771.6293	VAST
10	1993	378143.4359	VAST
10	1994	334125.0735	VAST
10	1995	145274.7	VAST
10	1996	99479.07109	VAST
10	1997	81109.64939	VAST
10	1998	92687.78971	VAST
10	1999	302443.5787	VAST
10	2000	488688.4467	VAST
10	2001	609032.4217	VAST
10	2002	998314.3887	VAST
10	2003	700619.6234	VAST
10	2004	203826.7328	VAST
10	2005	251608.4195	VAST
10	2006	178641.2563	VAST
10	2007	151325.1288	VAST
10	2008	134658.2337	VAST
10	2009	132910.9851	VAST
10	2010	227616.1632	VAST
10	2011	221851.761	VAST
10	2012	144054.6421	VAST
10	2013	72030.85205	VAST
10	2014	143899.6977	VAST
10	2015	166133.28	VAST
10	2016	179058.7341	VAST
10	2017	375860.6928	VAST
10	2018	462132.8088	VAST
12	1982	7881.852122	VAST
12	1983	21972.29277	VAST
12	1984	7692.479878	VAST
12	1985	8264.64013	VAST
12	1986	15237.10622	VAST
12	1987	30089.82877	VAST
12	1988	78676.16509	VAST
12	1989	139354.7034	VAST
12	1990	733598.4738	VAST
12	1991	112799.6346	VAST
12	1992	318268.3802	VAST
12	1993	240507.874	VAST
12	1994	288232.1034	VAST
12	1995	112761.1517	VAST
12	1996	135173.8776	VAST
12	1997	68296.68388	VAST
12	1998	13985.90516	VAST
12	1999	49484.14464	VAST
12	2000	144048.3597	VAST
12	2001	190770.0061	VAST
12	2002	237958.5445	VAST
12	2003	637706.1725	VAST
12	2004	386618.5777	VAST
12	2005	144396.6861	VAST
12	2006	53235.19245	VAST
12	2007	117214.7011	VAST
12	2008	86907.6251	VAST
12	2009	28183.05362	VAST
12	2010	70380.33349	VAST
12	2011	145558.4545	VAST
12	2012	100837.476	VAST
12	2013	72943.47652	VAST
12	2014	78703.70407	VAST
12	2015	20804.66059	VAST
12	2016	13923.50533	VAST
12	2017	48906.18209	VAST
12	2018	27567.72076	VAST
13	1982	2726.751769	VAST
13	1983	8829.231256	VAST
13	1984	4876.924025	VAST
13	1985	9379.280894	VAST
13	1986	1458.941511	VAST
13	1987	5675.521515	VAST
13	1988	15244.64783	VAST
13	1989	121878.7815	VAST
13	1990	62503.88549	VAST
13	1991	336601.8607	VAST
13	1992	140003.3082	VAST
13	1993	193065.0028	VAST
13	1994	112121.7001	VAST
13	1995	209444.8909	VAST
13	1996	45586.2661	VAST
13	1997	117701.8629	VAST
13	1998	33592.3578	VAST
13	1999	20338.31131	VAST
13	2000	47113.81531	VAST
13	2001	75908.46079	VAST
13	2002	140698.9964	VAST
13	2003	252835.7468	VAST
13	2004	167567.0227	VAST
13	2005	238004.7325	VAST
13	2006	77015.89243	VAST
13	2007	54597.27494	VAST
13	2008	39616.33142	VAST
13	2009	29028.04387	VAST
13	2010	42175.38662	VAST
13	2011	62799.81219	VAST
13	2012	87205.6437	VAST
13	2013	68875.39328	VAST
13	2014	79945.90019	VAST
13	2015	38777.46639	VAST
13	2016	14733.61986	VAST
13	2017	7536.129341	VAST
13	2018	4672.557481	VAST
15	1982	1135.163859	VAST
15	1983	3493.98927	VAST
15	1984	3028.387998	VAST
15	1985	599.3096467	VAST
15	1986	1757.034403	VAST
15	1987	2394.386941	VAST
15	1988	10075.89306	VAST
15	1989	92903.3119	VAST
15	1990	66791.4224	VAST
15	1991	51237.61876	VAST
15	1992	88759.21523	VAST
15	1993	130351.1115	VAST
15	1994	184730.1134	VAST
15	1995	129878.7011	VAST
15	1996	120590.357	VAST
15	1997	136587.4254	VAST
15	1998	86170.93838	VAST
15	1999	109409.024	VAST
15	2000	101591.5415	VAST
15	2001	77561.65069	VAST
15	2002	53769.74068	VAST
15	2003	104754.2101	VAST
15	2004	35616.49907	VAST
15	2005	107063.2734	VAST
15	2006	105124.24	VAST
15	2007	132236.6894	VAST
15	2008	143226.5941	VAST
15	2009	65591.9794	VAST
15	2010	56273.41302	VAST
15	2011	86340.21199	VAST
15	2012	58682.90782	VAST
15	2013	54458.34644	VAST
15	2014	109249.0916	VAST
15	2015	49074.41357	VAST
15	2016	9078.290742	VAST
15	2017	14531.16602	VAST
15	2018	9381.592351	VAST
14	1982	1157.128004	VAST
14	1983	7422.28986	VAST
14	1984	5821.977779	VAST
14	1985	809.3349257	VAST
14	1986	4508.086278	VAST
14	1987	3016.62339	VAST
14	1988	21386.06529	VAST
14	1989	60009.34048	VAST
14	1990	47512.80755	VAST
14	1991	49662.3922	VAST
14	1992	108907.115	VAST
14	1993	104481.9935	VAST
14	1994	108155.5541	VAST
14	1995	84355.21218	VAST
14	1996	80871.81823	VAST
14	1997	36131.94207	VAST
14	1998	33156.72286	VAST
14	1999	30451.76198	VAST
14	2000	21521.95372	VAST
14	2001	26683.93644	VAST
14	2002	44137.59777	VAST
14	2003	110737.0614	VAST
14	2004	42942.71528	VAST
14	2005	96142.32083	VAST
14	2006	103973.703	VAST
14	2007	68126.72638	VAST
14	2008	22022.4798	VAST
14	2009	15270.30189	VAST
14	2010	24837.02771	VAST
14	2011	29680.3298	VAST
14	2012	30240.5413	VAST
14	2013	39055.93864	VAST
14	2014	38140.9641	VAST
14	2015	22958.38416	VAST
14	2016	4280.753476	VAST
14	2017	4371.288166	VAST
14	2018	707.1420992	VAST
