"","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","V31","V32","V33","V34"
"y2005",1289628.0687989,2133337.90697942,1295042.00347889,2238620.09538502,1246080.84654692,1325445.63787591,2041742.99148299,1807611.03364034,2101020.99849177,908720.113424482,981279.77140266,1290554.31312996,1186513.5314943,1357823.48959994,690803.659121211,993411.294737521,690122.325674068,936001.635034782,1200960.86472143,771540.936115309,1125435.87374508,1475065.74667361,676264.53845639,2740838.09512825,425036.394979797,905501.728371652,431811.434474796,384799.681922338,707905.09653317,528554.74241194,732670.041862976,971621.344748106,1558742.42736116,1406653.39689924
"y2006",458029.653948218,812438.043606415,462267.997940504,818702.93781238,401605.596019827,516199.548559416,907058.523057519,664101.236924068,638478.663506242,402469.321901791,331838.46840051,429318.440514861,441491.512057053,617057.408730348,224102.130615923,317333.985439008,208904.362531332,384210.928633967,401489.540611312,291516.247040685,366128.504355177,665666.631072341,239598.019395959,425036.394979797,585127.895844726,319503.565829304,142345.026815207,139857.358206605,250704.066396249,188649.893301447,241819.735349351,359699.3470368,561702.818894465,474442.941733268
"y2007",1085069.67192453,1623548.11571097,952373.866441224,1772129.17268832,963580.422624588,1099995.33789025,1845372.5997821,1431838.61827725,1399055.3245728,815728.754774442,738859.909871773,908865.185201021,912906.4491909,927251.751625327,551729.013847311,736233.531466271,498334.940800544,715481.43985931,909773.196871993,568047.497280238,953605.760710073,1321745.18482236,485728.861475358,905501.728371652,319503.565829304,1779377.25340669,339098.410937044,297397.210294819,555996.093720047,366484.388829064,590725.622504268,702224.241555051,1244745.81296973,1090258.32833692
"y2008",548051.553568476,818236.924202993,531142.753547051,804275.802572022,476108.246413042,610237.126155355,929490.119901377,666590.072061841,757844.725009236,385907.353651382,357335.047589829,468383.179270365,545502.269726215,547844.659284651,269427.331987159,348505.588608099,254077.194700476,433700.820192881,500123.018517395,307814.976109576,425560.276938027,734074.517763269,270955.870605993,431811.434474796,142345.026815207,339098.410937044,614263.90001956,152255.359853699,306658.21155127,180037.039921688,292396.330326716,378333.250831989,627585.390509102,545421.477779192
"y2009",425256.769157666,680017.622117271,416273.790798795,725711.989966933,404458.611003203,463238.663459044,792751.622400444,584359.895107714,609791.432879025,357613.812945566,311188.252137267,405007.052340312,375742.344151635,574570.841416132,192942.11383282,285846.446937084,167455.76634067,363982.990968114,346741.483677632,280785.932983194,415914.775002359,610112.845022228,204030.438022388,384799.681922338,139857.358206605,297397.210294819,152255.359853699,529780.730923532,238023.867222948,142101.473177833,289199.421496186,312098.915468671,470733.791413886,508376.573157032
"y2010",835460.823999791,1255987.49104429,698752.497639311,1195571.79948419,720234.608927016,893273.99263464,1474134.84677779,1195551.23137741,1193350.89412467,657471.617279062,688920.912616917,645884.977353332,760684.117387741,960081.041942143,373914.838272847,669736.488359373,440303.255751994,622656.61534183,735281.994939867,490969.102001672,660562.035193147,856020.388522391,399122.814023901,707905.09653317,250704.066396249,555996.093720047,306658.21155127,238023.867222948,2029753.97080055,284983.421683491,409043.110114343,481378.433710266,1027720.15244054,841253.199482264
"y2011",512751.534150957,815010.210529825,552823.574957153,981582.359384597,504150.828089487,686200.484610297,840971.020082845,809804.734232253,819308.146514793,469937.593941459,325986.190498004,515318.117911927,526258.88421396,545384.678963828,297139.116448616,440284.804542585,264017.739917072,380632.845656395,544911.69801776,311835.04799654,488072.989320104,804839.103287894,279432.131329068,528554.74241194,188649.893301447,366484.388829064,180037.039921688,142101.473177833,284983.421683491,721892.07826103,315897.488029987,398376.67375798,658574.508857449,557268.162060892
"V31",793091.522529452,1475320.25636637,806257.892673279,1440848.0534115,897761.256848781,870709.201025154,1447778.64420337,1221331.30571914,1311914.56823907,648013.157904906,601897.990995332,810354.861188942,846248.655987799,1035476.33947075,453406.129748263,621970.585874247,512366.352518252,698465.215533853,890286.625729925,523107.013318233,821122.332288624,967001.030829082,410040.6603444,732670.041862976,241819.735349351,590725.622504268,292396.330326716,289199.421496186,409043.110114343,315897.488029987,1406197.77836556,640318.53222978,1116296.70436456,896953.696365468
"V32",1052432.17236862,1716014.82536451,1048081.94058979,1759984.99850015,1047188.07028725,1030904.53043433,2025012.33629682,1573297.98919148,1527669.43913103,855304.142994538,715352.991911177,1069729.14543472,1093013.71405321,1116001.15077395,503798.325239632,882036.374104573,495490.388456032,898779.535224027,903662.234906056,597695.642860504,942181.850405014,1287920.52394421,558430.780301847,971621.344748106,359699.3470368,702224.241555051,378333.250831989,312098.915468671,481378.433710266,398376.67375798,640318.53222978,1708189.28491277,1300771.49617063,1114642.66362955
"V33",1716081.96130211,2920701.2789405,1852544.60976252,2999440.19465438,1853123.577738,2010884.52273271,3225208.89659407,2572138.7218379,2682829.68586992,1435486.22991839,1230440.91697731,1547048.31308424,1861227.49736613,2074856.01128809,893352.778748409,1485981.3385365,805673.409943455,1447851.34710059,1798677.49400934,1022710.7799897,1514309.76274321,2206833.91736282,887281.281310269,1558742.42736116,561702.818894465,1244745.81296973,627585.390509102,470733.791413886,1027720.15244054,658574.508857449,1116296.70436456,1300771.49617063,3788868.86648924,1856934.92646287
"V34",1612331.46567569,2420589.52124639,1591977.83554925,2382015.24660739,1430719.96079914,1639260.5015813,2674697.91289799,2143589.72603212,2298603.12703122,1222803.71528202,1069801.96094244,1511095.71966269,1463045.26459834,1704716.31379384,800531.878814924,1098234.50875008,748127.308857325,1161720.569182,1495812.18038451,886122.701757159,1289783.76967716,2061214.96214699,721932.695181666,1406653.39689924,474442.941733268,1090258.32833692,545421.477779192,508376.573157032,841253.199482264,557268.162060892,896953.696365468,1114642.66362955,1856934.92646287,2909926.40626776
