#	Number	of	strata	
10				
#	SqKm	per	stratum	
1983	8	50	276.6159864	3
1983	8	50	586.2271009	3
1983	8	50	220.134105	3
1983	8	50	287.5483752	3
1983	8	50	203.4706639	3
1983	8	50	264.6376885	3
1983	8	50	2890.605148	3
1983	8	50	205.9710485	3
1983	8	50	120.1323738	3
1983	8	50	253.7036859	3
1983	8	50	0.314630813	3
1983	9	61	1.382274577	3
1983	9	61	15.99931039	3
1983	9	61	16.4590778	3
1983	9	61	341.0051462	3
1983	9	61	842.6054661	3
1983	9	61	1074.622931	3
1983	9	61	1016.485049	3
1983	9	61	182.1797266	3
1983	9	61	148.5147481	3
1983	9	61	100.7851661	3
1983	9	61	12.80167592	3
1983	9	61	682.4432051	3
1983	9	61	18.02307516	3
1983	9	61	996.4158459	3
1983	9	61	210.6971224	3
1983	9	61	495.8265023	3
1983	9	61	159.5682532	3
1983	9	61	106.4045341	3
1983	9	61	80.52311312	3
1983	9	61	217.9549787	3
1983	9	61	169.3554883	3
1983	9	61	75.35709509	3
1983	9	61	415.9024149	3
1983	9	61	2.646622684	3
1983	9	61	35.76717115	3
1983	9	61	42.45644501	3
1983	9	61	49.13487197	3
1983	9	61	58.65833011	3
1983	9	61	79.58087544	3
1983	9	61	123.6736255	3
1983	10	62	292.8176666	3
1983	10	62	71.23081104	3
1983	10	62	301.1569056	3
1983	1	10	0.010428162	3
1983	1	10	0.258628919	3
1983	1	10	1.11104804	3
1983	1	10	3.282632398	3
1983	1	10	1818.601689	3
1983	1	10	579.199742	3
1983	1	10	0	3
1983	1	10	12.9710954	3
1983	1	10	0	3
1983	1	10	0	3
1983	1	10	163.8496957	3
1983	1	10	3.988016728	3
1983	1	10	78.42217095	3
1983	1	10	138.747869	3
1983	1	10	1.012005521	3
1983	1	10	17.93002138	3
1983	1	10	13.71196369	3
1983	1	10	2.216736335	3
1983	1	10	0	3
1983	1	10	0.094955414	3
1983	1	10	0.045238012	3
1983	1	10	0	3
1983	1	10	29.50679624	3
1983	1	10	31.71815068	3
1983	1	10	405.8903955	3
1983	1	10	16.62392372	3
1983	1	10	25.08695541	3
1983	1	10	42.80484453	3
1983	1	10	0.308964632	3
1983	1	10	29.51211876	3
1983	2	20	0.050324662	3
1983	2	20	4.267810433	3
1983	2	20	2.470611218	3
1983	2	20	5.614993304	3
1983	2	20	25.62351329	3
1983	2	20	9.609525436	3
1983	2	20	25.85658146	3
1983	2	20	22.2482964	3
1983	2	20	9.473406175	3
1983	2	20	2.501515966	3
1983	2	20	0.207339428	3
1983	2	20	1.282402728	3
1983	2	20	58.85734085	3
1983	2	20	125.6081781	3
1983	2	20	80.87294063	3
1983	2	20	66.71675308	3
1983	3	31	362.7801395	3
1983	3	31	202.8595893	3
1983	3	31	0.917176387	3
1983	3	31	2.872568339	3
1983	3	31	135.4747981	3
1983	3	31	9.261384742	3
1983	3	31	589.6360546	3
1983	3	31	762.4524886	3
1983	3	31	219.5306872	3
1983	3	31	88.51257474	3
1983	3	31	78.70190595	3
1983	3	31	16.6270941	3
1983	3	31	6.448226761	3
1983	3	31	62.1895073	3
1983	3	31	16.80479912	3
1983	3	31	364.1288892	3
1983	3	31	19.6277225	3
1983	3	31	72.26137093	3
1983	3	31	4.633325643	3
1983	3	31	1.734586008	3
1983	3	31	749.2309358	3
1983	3	31	113.7443492	3
1983	3	31	7.751589224	3
1983	3	31	9.782622113	3
1983	3	31	16.43001953	3
1983	3	31	16.23889214	3
1983	3	31	4.64135991	3
1983	3	31	122.0499242	3
1983	3	31	196.8581509	3
1983	3	31	1.975992369	3
1983	3	31	57.26637776	3
1983	3	31	859.5284933	3
1983	3	31	6.915486248	3
1983	4	32	0.432386591	3
1983	4	32	0.360483114	3
1983	4	32	21.44149094	3
1983	5	41	5.840317804	3
1983	5	41	13.48037751	3
1983	5	41	45.65217523	3
1983	5	41	18.69150028	3
1983	5	41	23.44969762	3
1983	5	41	15.02007732	3
1983	5	41	46.40017792	3
1983	5	41	1.833456939	3
1983	5	41	44.16200763	3
1983	5	41	33.05066803	3
1983	5	41	58.2579411	3
1983	5	41	128.6834429	3
1983	5	41	26.67158625	3
1983	5	41	2.602192233	3
1983	5	41	326.4071068	3
1983	5	41	205.9538014	3
1983	5	41	494.0648948	3
1983	5	41	374.2337148	3
1983	5	41	324.85569	3
1983	5	41	409.6876933	3
1983	5	41	81.35032182	3
1983	5	41	7.140227546	3
1983	5	41	1742.719103	3
1983	6	42	32.00028089	3
1983	6	42	85.43219353	3
1983	6	42	1267.558675	3
1983	6	42	50.2750001	3
1983	6	42	0	3
1983	6	42	1.514304918	3
1983	6	42	2211.397324	3
1983	6	42	12.94459858	3
1983	6	42	0	3
1983	6	42	0	3
1983	6	42	0	3
1983	6	42	166.9348041	3
1983	6	42	33.93649273	3
1983	6	42	11.66862949	3
1983	6	42	38.72354176	3
1983	7	43	89.42077869	3
1983	7	43	11.25767142	3
1983	7	43	256.5207088	3
1983	7	43	88.22526025	3
1983	7	43	1893.8519	3
1983	7	43	158.7378633	3
1983	7	43	1190.313672	3
1983	7	43	775.8619049	3
1983	7	43	445.6710909	3
1983	7	43	296.5805264	3
1983	7	43	21.25373483	3
1983	7	43	8.924470404	3
1983	7	43	51.0162763	3
1983	8	50	19.71615344	3
1983	8	50	660.0724858	3
1983	8	50	284.9745447	3
1983	8	50	199.4154015	3
1983	8	50	54.64938353	3
1983	8	50	3.475303892	3
1983	8	50	205.3765037	3
1983	8	50	27.74702308	3
1983	8	50	48.05997667	3
1983	8	50	745.7139755	3
1983	8	50	26.60355601	3
1983	8	50	0.345602531	3
1983	9	61	172.314746	3
1983	9	61	57.64274741	3
1983	9	61	251.9561512	3
1983	9	61	651.2528308	3
1983	9	61	57.82067611	3
1983	9	61	54.16439848	3
1983	9	61	360.3292948	3
1983	9	61	131.7972238	3
1983	9	61	83.42037715	3
1983	9	61	414.0539548	3
1983	9	61	119.3695089	3
1983	9	61	91.37990676	3
1983	9	61	272.7695367	3
1983	9	61	66.80145531	3
1983	9	61	80.94670739	3
1983	9	61	59.91687818	3
1983	9	61	35.59073259	3
1983	9	61	33.44833273	3
1983	9	61	28.3618713	3
1983	9	61	43.66865903	3
1983	9	61	12.57723718	3
1983	9	61	23.0020907	3
1983	9	61	70.33035924	3
1983	9	61	15.65249415	3
1983	9	61	99.61355989	3
1983	9	61	45.81181885	3
1983	9	61	44.7762535	3
1983	9	61	48.98674289	3
1983	10	62	54.75154282	3
1983	10	62	158.3442808	3
1983	10	62	206.7298168	3
1983	10	62	814.4085287	3
1984	1	10	5.979084439	3
1984	1	10	0.202344941	3
1984	1	10	71.05433843	3
1984	1	10	0.321708592	3
1984	1	10	4.866591173	3
1984	1	10	312.2995055	3
1984	1	10	11.27163107	3
1984	1	10	854.7685363	3
1984	1	10	203.6578459	3
1984	1	10	798.4094323	3
1984	1	10	25.96896464	3
1984	1	10	0	3
1984	1	10	21.73589404	3
1984	1	10	6.48965024	3
1984	1	10	2662.906807	3
1984	1	10	7.325053455	3
1984	1	10	22.34840853	3
1984	1	10	5.84078883	3
1984	1	10	13.21141965	3
1984	1	10	19.77515116	3
1984	1	10	2.589767431	3
1984	1	10	0.662973245	3
1984	1	10	0	3
1984	1	10	0.012725732	3
1984	1	10	0.095918697	3
1984	1	10	3.519027983	3
1984	1	10	2.421863517	3
1984	1	10	29.56610792	3
1984	1	10	22.651002	3
1984	1	10	7.344223119	3
1984	1	10	1.457898689	3
1984	2	20	0	3
1984	2	20	0.392587595	3
1984	2	20	4.73601676	3
1984	2	20	11.51823182	3
1984	2	20	3.674119224	3
1984	2	20	3.835837426	3
1984	2	20	14.8594271	3
1984	2	20	17.95054829	3
1984	2	20	7.067860453	3
1984	2	20	10.95666365	3
1984	2	20	9.020475901	3
1984	2	20	12.51833184	3
1984	2	20	0.022676463	3
1984	3	31	0	3
1984	3	31	233.36608	3
1984	3	31	130.5137015	3
1984	3	31	10.36371409	3
1984	3	31	3.639578841	3
1984	3	31	106.3889782	3
1984	3	31	16.02594533	3
1984	3	31	84.96974597	3
1984	3	31	331.4910449	3
1984	3	31	355.8497022	3
1984	3	31	945.4632855	3
1984	3	31	185.8342727	3
1984	3	31	21.43411058	3
1984	3	31	7.421155712	3
1984	3	31	8.527039341	3
1984	3	31	3.850332281	3
1984	3	31	37.51827879	3
1984	3	31	21.22550559	3
1984	3	31	157.3401951	3
1984	3	31	455.9888183	3
1984	3	31	0.303357758	3
1984	3	31	3.196645834	3
1984	3	31	82.25808859	3
1984	3	31	694.2708052	3
1984	3	31	333.306541	3
1984	3	31	2.215101044	3
1984	3	31	17.6019615	3
1984	3	31	8.009882144	3
1984	3	31	244.9635916	3
1984	3	31	17.59155343	3
1984	3	31	49.13088179	3
1984	3	31	17.19826925	3
1984	3	31	3.729579883	3
1984	4	32	8.050446254	3
1984	4	32	5.155835361	3
1984	4	32	105.4979726	3
1984	4	32	253.499461	3
1984	4	32	45.60256302	3
1984	5	41	1.39043932	3
1984	5	41	6.829994494	3
1984	5	41	23.62223899	3
1984	5	41	25.82588486	3
1984	5	41	58.47506237	3
1984	5	41	4.590018184	3
1984	5	41	0	3
1984	5	41	0.022211117	3
1984	5	41	0.010628126	3
1984	5	41	0.579848078	3
1984	5	41	0	3
1984	5	41	0	3
1984	5	41	0.067363078	3
1984	5	41	0.011057456	3
1984	5	41	0.010334486	3
1984	5	41	0.010128696	3
1984	5	41	0.747309216	3
1984	5	41	1.185145324	3
1984	5	41	13.35898051	3
1984	5	41	272.2228846	3
1984	5	41	308.8540278	3
1984	5	41	54.02177845	3
1984	6	42	18.05556722	3
1984	6	42	1.611173709	3
1984	6	42	6.215997608	3
1984	6	42	15.64079924	3
1984	6	42	41.03270376	3
1984	6	42	3.382452813	3
1984	6	42	0	3
1984	6	42	6.877515844	3
1984	6	42	5.016158575	3
1984	6	42	2.710173648	3
1984	6	42	5.654527898	3
1984	6	42	1.870037204	3
1984	6	42	80.54601921	3
1984	6	42	2.737285127	3
1984	6	42	3.588898099	3
1984	6	42	6.423872421	3
1984	7	43	54.2782384	3
1984	7	43	2368.045459	3
1984	7	43	0.921134355	3
1984	7	43	0.81191672	3
1984	7	43	0.220254776	3
1984	7	43	1.641223482	3
1984	7	43	2.91980912	3
1984	7	43	413.0596143	3
1984	7	43	87.50499967	3
1984	8	50	149.0094957	3
1984	8	50	33.149849	3
1984	8	50	1763.274914	3
1984	8	50	102.9030178	3
1984	8	50	274.0261353	3
1984	8	50	175.0304599	3
1984	8	50	88.94382654	3
1984	8	50	56.32401253	3
1984	8	50	363.7776556	3
1984	8	50	326.2981129	3
1984	8	50	0	3
1984	8	50	119.8582195	3
1984	8	50	106.6869231	3
1984	9	61	25.3754701	3
1984	9	61	0	3
1984	9	61	1668.674518	3
1984	9	61	957.3314435	3
1984	9	61	128.678366	3
1984	9	61	8.899403301	3
1984	9	61	30.84836229	3
1984	9	61	40.43863504	3
1984	9	61	197.4960815	3
1984	9	61	742.6103778	3
1984	9	61	64.86137017	3
1984	9	61	19.37575121	3
1984	9	61	93.76777451	3
1984	9	61	69.29245335	3
1984	9	61	45.816164	3
1984	9	61	91.12303375	3
1984	9	61	25.47601502	3
1984	9	61	212.8629785	3
1984	9	61	860.1735302	3
1984	9	61	197.7345707	3
1984	9	61	62.95874283	3
1984	9	61	117.5633216	3
1984	9	61	109.573958	3
1984	9	61	171.4537947	3
1984	9	61	70.52104666	3
1984	9	61	339.9710163	3
1984	9	61	14.91482586	3
1984	9	61	50.9686377	3
1984	9	61	97.68929151	3
1984	9	61	241.3070979	3
1984	9	61	229.547973	3
1984	9	61	331.8305567	3
1984	9	61	277.883411	3
1984	9	61	123.911922	3
1984	9	61	62.04148101	3
1984	9	61	56.48733312	3
1984	9	61	141.6058786	3
1984	9	61	81.14981824	3
1984	9	61	217.4679332	3
1984	9	61	56.46998748	3
1984	9	61	70.94523797	3
1984	9	61	137.1016839	3
1984	9	61	141.6594361	3
1984	9	61	369.8273458	3
1984	9	61	152.3388581	3
1984	9	61	1282.604177	3
1984	9	61	77.61166689	3
1984	9	61	32.14287832	3
1984	9	61	14.28924665	3
1984	9	61	57.55390776	3
1984	10	62	3889.725031	3
1984	10	62	865.0832546	3
1984	10	62	282.5168581	3
1984	10	62	128.4447883	3
1984	10	62	206.797481	3
1984	10	62	329.193836	3
1984	10	62	141.0241459	3
1984	1	10	1.034438726	3
1984	1	10	19.09245864	3
1984	1	10	844.4339616	3
1984	1	10	102.6398171	3
1984	1	10	0	3
1984	1	10	8.439406031	3
1984	1	10	19.26668772	3
1984	1	10	5.881950223	3
1984	1	10	6.592242235	3
1984	1	10	0	3
1984	1	10	21.10030533	3
1984	1	10	1.147199986	3
1984	1	10	5.594146478	3
1984	1	10	264.3623326	3
1984	1	10	39.49076736	3
1984	1	10	120.1839933	3
1984	1	10	18.72415233	3
1984	1	10	1.857344405	3
1984	1	10	5.799306564	3
1984	1	10	0.029233002	3
1984	1	10	0.025605779	3
1984	1	10	0.24849254	3
1984	1	10	1.668543958	3
1984	1	10	1.966780772	3
1984	1	10	0.572628415	3
1984	1	10	5.16888969	3
1984	1	10	4.458332105	3
1984	2	20	0.022370592	3
1984	2	20	0.024719414	3
1984	2	20	0.649990072	3
1984	2	20	6.149914127	3
1984	2	20	2.311603045	3
1984	2	20	4.017381028	3
1984	2	20	4.221446199	3
1984	2	20	0.028046151	3
1984	2	20	1.293106218	3
1984	2	20	7.17005176	3
1984	2	20	1.701577542	3
1984	2	20	10.89691161	3
1984	2	20	17.62205782	3
1984	2	20	9.685362265	3
1984	2	20	24.2515912	3
