"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2002,1,"EBS",5693548.74872064,0.0837665230378516,476928.782426838
2003,1,"EBS",9006055.97189341,0.0880552321113817,793030.349013169
2004,1,"EBS",4489959.60238918,0.0859801072796965,386047.208294925
2005,1,"EBS",5696094.97207431,0.093816483701892,534387.601112039
2006,1,"EBS",3315965.70862869,0.0897332969391467,297552.535572406
2007,1,"EBS",5260340.32899228,0.109150159003237,574166.983320651
2008,1,"EBS",3477574.20257789,0.109634622579782,381262.535192811
2009,1,"EBS",2397401.74899169,0.114920115965216,275509.687009337
2010,1,"EBS",4258340.29470997,0.109405305740462,465885.021889674
2011,1,"EBS",3695534.13713901,0.098140183681154,362680.399018797
2012,1,"EBS",3938363.70309837,0.086192346586062,339456.809279422
2013,1,"EBS",5062998.33648162,0.0882772557524741,446947.599023938
2014,1,"EBS",9834173.27448456,0.0822635691101903,808994.192807147
2015,1,"EBS",7915803.92886318,0.0762994954429929,603971.845797921
2016,1,"EBS",5918403.08586799,0.0808451993690476,478474.477423384
2017,1,"EBS",5729406.38138711,0.0777483530798408,445451.910277978
2018,1,"EBS",3280794.90491868,0.0853923950265801,280154.934522007
1982,1,"NBS",9286.16291003155,0.581624823642365,5401.06286486137
1983,1,"NBS",118850.685915077,0.640228564848387,76091.6040746562
1984,1,"NBS",28165.1334176408,0.810160461519626,22818.2774883977
1985,1,"NBS",234191.485708699,0.347147060791606,81298.8859261942
1986,1,"NBS",65621.8696622441,0.700247922601147,45951.5779081896
1987,1,"NBS",40804.4990853166,0.621861973041857,25374.7663101796
1988,1,"NBS",12488.9443651412,0.434895717381519,5431.38841901597
1989,1,"NBS",87658.6926562595,0.44910215306318,39367.7076066297
1990,1,"NBS",30127.4799591611,0.658653155256627,19843.5597350323
1991,1,"NBS",122559.554492211,0.250124949840497,30655.202419838
1992,1,"NBS",35940.7043785081,0.818647654966517,29422.7733573105
1993,1,"NBS",85856.3921915556,0.695363110443483,59701.3679257757
1994,1,"NBS",43308.2116502408,0.786327480182692,34054.4369381526
1995,1,"NBS",32505.5388768582,0.742932905861364,24149.4344543738
1996,1,"NBS",82807.140224296,0.620530016281427,51384.3160716009
1997,1,"NBS",106790.263677041,0.612700999633776,65430.5013060774
1998,1,"NBS",220993.476806575,0.548825685664583,121286.896435769
1999,1,"NBS",28665.5760457536,0.807012696615563,23133.4838247221
2000,1,"NBS",45847.4594469361,0.683597624008574,31341.214344755
2001,1,"NBS",40001.8662668207,0.616632349266709,24666.4447711623
2002,1,"NBS",113905.88185373,0.449511296990059,51201.9806868666
2003,1,"NBS",362137.720617399,0.501996303450028,181791.797089753
2004,1,"NBS",187317.866460081,0.512922432420423,96079.5357005087
2005,1,"NBS",69076.6428136767,0.44173142900868,30513.3241412076
2006,1,"NBS",6848.98788486312,0.518572902625748,3551.69952750204
2007,1,"NBS",15544.2091039937,0.571371992018086,8881.52572009455
2008,1,"NBS",7359.21133241655,0.524453934447742,3859.56733771827
2009,1,"NBS",3077.2853212312,0.521426348691825,1604.57764893254
2010,1,"NBS",6655.46382437273,0.248594277176869,1654.51021869674
2011,1,"NBS",38799.3683559361,0.514168557723508,19949.4152681548
2012,1,"NBS",23551.6005784628,0.608233128074644,14324.863691003
2013,1,"NBS",38069.0770206463,0.665253461313646,25325.5852570007
2014,1,"NBS",338445.781576866,0.620528347788899,210015.201658015
2015,1,"NBS",696675.494169774,0.581796949339718,405323.677187715
2016,1,"NBS",1476193.57714867,0.552598287359577,815742.042543563
2017,1,"NBS",1356348.15368672,0.147028767615229,199422.19749375
2018,1,"NBS",1135589.98503413,0.212094434247557,240852.315413005
