V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
43185120.23803665,89633087.1393873,67423016.66769771,91085549.14139758,71438540.10485622,84328637.09495622,114448106.74668773,102382443.0473357,124290561.04239221,73318935.98233682,65147695.56326944,73199598.6967114,73996508.94974574,95525355.88382444,42062393.393266104,52188163.2086737,36681165.0901972,56555661.37722657,79495170.52625006,56556831.20950509,65358971.49638341,143931424.72569275,46714871.7707086,71431864.2008589,40440012.497417666,65323065.1776745,41852630.77406279,32863810.97228892,50005282.13034814,40843484.79525041,44985188.95546984,63039151.15965955,105903593.85319684,87410042.0597676,63198586.4458455,82617286.22543345,43146876.36405742,90704665.31080295
42904342.504815266,89201634.39231382,67070496.84104834,90958514.68444692,71107035.60707347,83467647.9636037,112815986.10973416,101536055.01459645,121601118.1287011,72426294.31052186,64630580.73118108,72863128.18765594,73424525.10313821,93253438.65454648,41968912.98087029,51728667.21235317,36524345.6793437,56002932.2983955,78672564.6643554,56534247.18703821,65130186.24398256,140502639.2563793,46609768.396649756,71232861.02257417,40425385.91594411,65054173.93289392,41862200.46741756,32856417.261704076,49769567.27803267,40808652.461667724,44878894.40504635,63028951.99014089,105493406.64464103,87232622.05125384,62810184.81426575,82499279.92583197,42793835.42883762,90342113.27270493
49212523.75057964,103274134.20690493,77322916.3519521,104516878.42100504,82211157.34299406,95439394.82701945,131050231.2609399,118673520.26919259,141297268.44197047,82738734.83291486,73112658.48381539,82312531.68335795,84090091.06997052,108115118.06106398,47276658.94021171,58954066.12647245,40960006.06320642,64174061.02751326,90378007.21722767,63831401.876903296,74396333.49169162,161001506.4179178,52520942.78924535,81756254.32891428,45320195.35303357,75349569.1120479,47503762.93294433,37269244.36090484,56469101.1970601,45558991.84280105,50717400.32205808,72114023.24716637,121369338.71764466,99456760.40986066,70771983.81559101,92699009.39466335,47974900.2692869,101740083.69206397
42716185.923476726,88732864.9996881,66732104.53639708,90323332.00872189,70727512.07814953,83254200.96180433,112755302.52333991,101180374.9876702,121992202.88551457,72313174.42190343,64388362.645083375,72470817.9052827,73147249.22285572,93651416.31328602,41694625.811284766,51559999.06563559,36323126.60941283,55849387.63139,78477324.25073326,56112032.34244452,64744721.81434757,141100682.21483234,46304945.53155367,70786365.87432903,40122937.79012919,64689904.299952626,41536104.242453694,32608122.307649706,49504967.81429409,40513519.395664275,44587948.450325355,62550040.19291966,104887495.5074086,86652427.14531672,62521983.10190408,81926381.03822072,42641900.931426615,89827885.52737175
38214451.076332755,78828306.77580212,59504895.83318816,80979282.12232524,62914130.12646021,74753091.4436507,100242653.40851007,88939971.20443675,108652617.1321236,64934434.41144529,58700889.47290007,65900538.703153655,65500280.7856613,84431983.54430725,38005558.85967834,46466768.254417464,33187980.055633064,49927154.3933295,70167809.49795213,51121402.757810324,58279695.247624904,129009450.49735808,42220345.6770956,63453982.54755612,36774424.54127921,57443132.93458272,37702399.60925984,29596977.734793462,44808103.99684724,37250773.62353306,40547689.46626738,56354964.8647359,93842795.33428869,78168094.15059888,56906886.55805761,74876402.48413448,38937773.45538273,82000563.12035923
44138783.889243804,91782674.32938626,68976084.19719397,93091165.53164396,73131372.25803824,86098034.87220164,117196576.35644087,105077898.20829065,127231400.28254186,74843219.26933643,66318134.34351594,74532281.76144798,75603155.651694,97660576.62089112,42811076.69544035,53244568.710074775,37302612.83266788,57795133.93031415,81250478.01468791,57579693.42738101,66720295.36970689,146731444.5742324,47543012.15483123,73000162.96796612,41109357.05057928,66900269.39513076,42651950.31622225,33490812.05265348,50970558.2990924,41484095.892575756,45812043.99319483,64359699.51057635,108270207.53824048,89194283.27407221,64325903.12011491,84035254.0392602,43874420.02216795,92284177.05772857
38585863.06253855,79759813.88067026,60156465.981336035,82058954.55203758,63658983.14324864,75127616.85294576,100262518.63419268,89848743.06843418,107681021.00664635,65141810.32979201,58900510.119024895,66463647.00614112,66048371.437444575,82981061.1543454,38416315.74174519,46737644.454799585,33481933.934809204,50267694.66737119,70546120.41829212,51742964.890058875,58928702.2896229,126345450.81161198,42664992.43164092,64241118.458759785,37196365.3418405,58166296.833877414,38194233.16301697,29974370.90120566,45224165.519318536,37649911.69211217,40985905.8984286,57125429.80879248,94910706.64818494,79119698.76254602,57323014.21828069,75702413.20850424,39142070.38180059,82672467.41798092
42109177.634767614,87459313.58762206,65799115.74656917,89377617.3537977,69736586.09196715,81900155.50460458,110332358.95305899,99303207.46991171,118718956.56467396,71040800.76508178,63584851.503940694,71736928.21146187,72058793.43481815,91069819.2300258,41360040.99352479,50803523.08345575,35999021.342519954,54925522.08526813,77132644.201128,55723494.55637995,64022723.155923694,137493518.975231,45933671.982663505,69978921.11838964,39890295.11627455,63787967.874144316,41237150.46747193,32363492.14369131,48961435.83946441,40289308.58132798,44206102.89179681,61999492.74727874,103573488.00371666,85806072.09145556,61835928.66890391,81352294.53616792,42140382.02944705,89007804.87647441
39746874.58171627,82226606.63011032,61977008.82322369,84244587.35275207,65597755.74819065,77540805.99810137,104095029.12839861,93062160.39274721,112384040.50181942,67319732.56658205,60520832.671291165,68142922.74700463,68079833.0609181,86601465.15391329,39294529.695491865,48149635.47041935,34269829.24211001,51901352.798534036,72891437.3903108,52882515.436998084,60513003.78142062,131479820.51230371,43643648.87211629,65999690.3618021,37959263.98262036,59942178.754316874,39057544.16906385,30658913.04033962,46416614.06600433,38403116.00331282,41954694.28900822,58535116.62082409,97638864.82087088,81129128.32381725,58805851.2649212,77353144.25545396,40170857.50723396,84663112.55326025
42552042.311068185,88375101.77797267,66471202.9080129,90008875.07466517,70446590.49045275,82925541.53325874,112222133.16523536,100710025.43079327,121355868.55769409,72019624.78856364,64175295.30042733,72245958.97415671,72863726.98101264,93167533.79451557,41575494.98774243,51367973.32764748,36218999.82746593,55622891.60150505,78153195.29156804,55956005.83128721,64522173.99562685,140435933.95178175,46172859.05718593,70534192.63139658,40021338.723549254,64430741.31646955,41415652.41226335,32512702.20330767,49342397.78230634,40415177.84931576,44455773.400862515,62348458.55426671,104498401.97758242,86369457.6788665,62325162.18923749,81704886.85119143,42508291.92208259,89564261.97412601
57368505.89668479,121531226.03182814,90610571.49284415,122097884.76675612,96602669.63591152,111065916.91079472,155154633.10026896,140932322.78077057,167599707.1562856,96217024.98794419,84285797.86939646,94570402.0590545,97860868.83548617,128217621.6970635,54116036.09626108,68384863.64987877,46652134.494257204,74723221.38469417,105649324.22301733,73259586.32905695,86397706.816658407,188830952.62991956,60164304.26967604,95378841.60367298,51623066.855172,88663931.34165618,54819286.51046511,42986592.64637839,65140446.34042138,51664835.68484509,58278463.99707963,83920092.67208803,142000855.73094553,115233166.67229968,81056896.62963624,105808383.13941194,54654549.2053609,116504300.27263549
47378307.47043637,99101873.75377478,74293112.75313346,100340169.1110883,78916891.10955077,92034063.44428402,125983782.27043061,113766433.37823269,136130728.29717064,79861667.1696073,70602001.72722492,79461901.80819714,81020158.7936379,104233069.14481722,45649318.134757705,56872228.75886615,39630511.74829655,61871507.768746115,87058579.30302776,61540801.07726756,71598104.29784904,155650607.79123577,50700420.67943178,78570527.00215986,43777137.33390981,72285980.43213096,45723051.255708,35884888.43008991,54461401.43516778,44066689.770327896,48924387.55028022,69271862.40868087,116588907.89035834,95715236.13305753,68422855.77122109,89534119.43742852,46485956.960673936,98268727.01312146
40263737.56560035,83332919.68736438,62791341.75686815,85239006.28001755,66468184.16255755,78590558.59832595,105735584.99805343,94486544.88479823,114343101.643908,68259263.36320607,61224235.48470594,68890637.66489224,68977689.95643002,88083956.35764745,39692882.04844525,48767218.93635459,34622610.68262519,52617369.181543075,73913263.03419286,53404272.58307244,61226053.58489366,133558020.05951698,44086554.544266485,66795625.36464899,38308828.65806875,60741868.25822949,39454073.686170794,30972686.831038963,46948624.30402058,38747175.03345137,42393078.29977549,59180888.73971023,98863902.75318217,82041097.82157518,59461678.436162986,78104554.89647038,40621019.55727123,85550255.03971373
43544971.1283699,90499404.91203398,68033762.29327653,91906247.76791766,72118973.60448372,84932295.54568805,115399037.1564403,103460880.08733647,125165043.49274716,73815183.41667332,65519890.69699384,73664493.67413168,74584331.11269136,96092024.60406458,42334129.62495175,52549782.89886107,36889342.00762392,56995302.60294316,80113142.0271621,56945817.66243424,65883561.68774551,144541531.13306737,47014304.13564774,72059009.78541416,40682550.583316684,65967120.17491115,42168600.19097878,33109476.899899803,50353959.553828776,41065182.23057777,45289811.72027249,63578972.11042987,106840653.4273257,88108851.41217256,63572863.362673424,83129711.99212585,43365700.17292893,91246482.285573
42364938.073142156,87905009.97950076,66133282.53264364,89364282.79623434,70064864.2948863,82738339.40630192,112228421.46670973,100363149.3649829,121875916.42608857,71936371.55711165,63955657.16150066,71859193.59005843,72594251.90617669,93691725.92642353,41296811.76783259,51211662.8345902,36017152.267776705,55480095.098676726,77981433.8152322,55526000.57301618,64134584.50405605,141239548.001844,45864835.74928998,70081146.59863141,39713244.74304845,64062542.14507032,41083211.119879745,32259523.793030906,49080217.85994675,40115010.73766934,44161647.35303263,61860497.99033421,103892538.34020023,85780593.25893658,62043562.473677754,81122764.42925367,42363931.07550707,89056946.23035242
38884587.67858756,80373347.81332101,60616142.02041094,82601375.73174751,64142120.64257392,75777520.0110609,101302096.63968892,90647820.46547513,109019353.55478162,65736143.23618852,59358449.72820148,66916893.28864303,66578372.7178242,84065953.0594822,38649785.118112005,47118793.009527296,33697293.48582409,50698109.12444534,71170182.83206196,52040534.06311012,59335239.02958767,127951452.87718898,42926079.50586986,64682515.20061589,37401010.88422598,58604177.41033037,38414923.677113324,30150043.34578781,45539968.22960087,37856085.71288744,41241677.05888482,57476989.38979046,95600128.21933644,79631791.7681115,57729050.563899465,76143538.05012289,39431468.78034916,83217137.63478585
44640765.361625075,92923573.98457867,69809662.17079692,94337786.70337342,74040741.53316575,86944604.862854,118255498.38312647,106291605.42854491,128030059.36664055,75520324.0222046,66996945.704971015,75383673.8042674,76422803.82482013,98188555.86212392,43333014.8730323,53788637.03553376,37721151.6259455,58378416.344623595,82062307.55153525,58327757.50372553,67542820.82050925,147446691.29210508,48123021.62385483,73935371.31742175,41631220.08305448,67750948.03795457,43225693.816212475,33934938.58965439,51560260.97149148,41995356.12172045,46374764.05237943,65239305.319240175,109624365.4443867,90336400.7589374,65015564.286171585,85076355.76989031,44301085.76215661,93347303.94985911
41121580.62691822,85096560.83884151,64108576.719235756,86750286.97805956,67853944.71532618,80469242.99350232,108791572.94333634,96840084.85964239,118318220.45553753,69987895.70354046,62506038.25178531,70146669.83327039,70504297.68059766,91269475.54180282,40328051.97073392,49858948.04881126,35214248.83981594,53868718.770105064,75726608.65785141,54202527.575403996,62365480.14940459,138213690.63577968,44796159.87304999,68036614.02896608,38850010.462877184,61998011.24409725,40047699.786814585,31447137.77188646,47831526.13868256,39290713.813110076,43092482.31701164,60144022.54794048,100816458.97075099,83459093.55595344,60595783.770175286,79290066.44120961,41434204.05192406,87042710.66678077
