1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
21659071363720.508,47830691376618.4,34923818001837.824,45560404933498.47,37731106014258.86,41349580763068.46,61957021145224.37,58717158709141.54,67081195383763.56,35860054953977.78,28582308358971.387,32198954611534.066,36795994789354.86,48185610651520.805,17999423315301.5,24839681927666.66,15231063035287.09,28405617319244.594,40347172786943.33,24505185893599.477,31434287492621.945,63470732398777.15,20008397888594.934,35578907752622.18,16471181550068.219,34948475890182.36,18853965323689.375,14780806762484.037,22874947721346.5,16046760454966.947,19760410434268.33,30364578307181.316,53735498978951.71,41296557132119.586,27368653777312.297,34504704176820.047,18005235477141.703,38624181178647.234
43784663698325.32,96630457320884.25,70569942826519.45,91913854834627.56,76222226956025.31,83784413898830.66,126054127563139.5,118789728357300.84,137251904706136.62,72729064614621.34,57992774174836.94,65061808233977.19,74425803290419.48,99717441663872.81,36316103067102.49,50307762696970.22,30756935104382.03,57502480285301.914,81760309220736.05,49402507119459.33,63470732398777.15,133311835357267.8,40374756002239.07,71817578098274.42,33199270323556.684,70579937209183,38004686989301.73,29800180644721.258,46213133340832.64,32348436991664.69,39876950893710.234,61227608053772.74,108536147321128.95,83322203355729.17,55340643421555.664,69584388776332.58,36448464342213.99,78058381134792.3
13784215995390.174,30442968604046.04,22227650785322.77,29002788301918.105,24014981273787.89,26311689791214.355,39420624714899.13,37366589586970.086,42669373237891.164,22816495003827.43,18190043527404.992,20494265941280.195,23416304672788.33,30649922311324.33,11457682790208.248,15807010024843.256,9694328048549.4,18075118760129.047,25673846949389.83,15600638380647.152,20008397888594.934,40374756002239.07,12736611836128.768,22647138910951.434,10486116877153.43,22244336022862.687,12003285571046.953,9409880310751.258,14559432412102.797,10215679249233.5,12578640805921.734,19330801094086.965,34203003447142.53,26287692308983.82,17418201933405.246,21965316439498.004,11457668872235.744,24584807942953.98
24512158371704.49,54135952377722.836,39526677929591.83,51572363765113.68,42705154172942.93,46789576414620.01,70104842339861.8,66451106944434.78,75885972668761.69,40574601077821.59,32345242261204.33,36441829022484.09,41640757759221.71,54513334195314.2,20373191431945.766,28108911851415.4,17237829274344.166,32143163675570.812,45655963804908.09,27739344377193.336,35578907752622.18,71817578098274.42,22647138910951.434,40271523795992.086,18644849008705.14,39556486534692.99,21343053671866.52,16731822650557.025,25889271384519.016,18163845879921.598,22366473934306.652,34373018201271.793,60820662192077.96,46744048932176.44,30972617811511.44,39056293171955.586,20373941650071.79,43714730974073.086
11343942017246.65,25058656416532.586,18295392173220.05,23880857136460.426,19767745416116.03,21646335964714.285,32425359185452.055,30749351285004.332,35077606823461.7,18767193002870.926,14968347439533.127,16868922630344.002,19268386802925,25197408494209.367,9433054536706.55,13005799006397.066,7979194986865.985,14870406368069.516,21121973377188.516,12846812378273.36,16471181550068.219,33199270323556.684,10486116877153.43,18644849008705.14,8635101291006.535,18311096749341.094,9885246207682.113,7749039533864.473,11983799560647.777,8411849462237.663,10355985020909.562,15919081899006.223,28156116173119.82,21643402662381.234,14334129536784.695,18085512790157.36,9426426898569.309,20237257153026.805
24081925591643.945,53179859195706.83,38829628808938.42,50652409610665.88,41950743818166.65,45975899796724.91,68890963819226.79,65287446732443.055,74593197670937.77,39873144362132.84,31777697204161.297,35798233689190.836,40912581782762.02,53581367654719.52,20011054698659.504,27618297754263.883,16933824774654.533,31584439111318.79,44861709377223.25,27242861440231.06,34948475890182.36,70579937209183,22244336022862.687,39556486534692.99,18311096749341.094,38856816135526.805,20960154496410.02,16432157256946.451,25432372226917.82,17839312254098.992,21968786351916.47,33757295928532.875,59743250630966.57,45912360133916.47,30429012350566.187,38360152947349.52,20019249457440.01,42940850554539.56
12983156941430.668,28683244791037.965,20941008927687.836,27338939222368.223,22627049075533.12,24770856734249.11,37106738354806.664,35193155601889.09,40133870617131.73,21474136996931.113,17131524142523.605,19307661736746.32,22051299237127.25,28835803248664.383,10797707805439.834,14883858875544.396,9132182161000.205,17016531005276.072,24171290799188.965,14707096019376.13,18853965323689.375,38004686989301.73,12003285571046.953,21343053671866.52,9885246207682.113,20960154496410.02,11317335810903.441,8871396327088.607,13716260192659.705,9629207344176.137,11854391522604.268,18225330411744.418,32229916394364.3,24775834004876.51,16404601290691.332,20702551131025.918,10786444213277.648,23163743714821.656
10179174021644.967,22487132598016.227,16417611705224.287,21431342467534.84,17739161352682.33,19422619541434.5,29095803722712.383,27592790013998.168,31473685017085.523,16838564346148.316,13431607344795.113,15137003560993.1,17289438083081.945,22612510428527.684,8464836181312.316,11669949292119.898,7159683804496.498,13342610169800.555,18952407745035.555,11528840247369.934,14780806762484.037,29800180644721.258,9409880310751.258,16731822650557.025,7749039533864.473,16432157256946.451,8871396327088.607,6954193024018.143,10753458797047.846,7548484322609.248,9293165236157.654,14286546213763.91,25267004052732.723,19422640487283.742,12861790193007.594,16229335640958.957,8457597807251.332,18159762422174.44
15764768394904.049,34808371646500.62,25416638914156.78,33148827833027.164,27458313275648.99,30104537457686.785,45111407145090.53,42738788968070.58,48862067477882.97,26111743690255.004,20805827004945.676,23434284751414.184,26784990316275.086,35094380796581.9,13097654537258.797,18082967701970.04,11085492958932.643,20680364348149.125,29374010702288.42,17828739736075.387,22874947721346.5,46213133340832.64,14559432412102.797,25889271384519.016,11983799560647.777,25432372226917.82,13716260192659.705,10753458797047.846,16648288640792.31,11675690111959.746,14378961784598.123,22090605709900.387,39103512964048.83,30048781620425.98,19921791970486.96,25106683362687.348,13108833191168.262,28109232395833.01
11052794713436.518,24413465070833.496,17824735401689.227,23263487553590.76,19258745856395.41,21093125232654.723,31597156877867.06,29960266973214.492,34187576521614.83,18288832764535.43,14584377705969.787,16435181026325.016,18774726608817.516,24555692536123.125,9189842572795.977,12672913235242.531,7774263616809.382,14490430180427.045,20581919855929.73,12514524134756.76,16046760454966.947,32348436991664.69,10215679249233.5,18163845879921.598,8411849462237.663,17839312254098.992,9629207344176.137,7548484322609.248,11675690111959.746,8194621233856.771,10088888232475.947,15506845040196.664,27430412161630.11,21084746263011.9,13966636100211.959,17618751797997.23,9185699291143.9375,19716426593232.1
13613478487743.326,30065882938147.023,21952308692890.508,28643278442308.51,23717504170459.22,25985873574102.39,38932956347027.4,36904062950752.32,42142025147131.88,22534023848152.414,17964651484860.69,20240178495742.055,23126280959005.31,30271509759701.36,11315579368317.334,15611225599762.928,9574108932302.465,17851311114351.016,25355984415998.97,15407101119591.803,19760410434268.33,39876950893710.234,12578640805921.734,22366473934306.652,10355985020909.562,21968786351916.47,11854391522604.268,9293165236157.654,14378961784598.123,10088888232475.947,12422652100257.275,19091106404057.086,33779194603036.664,25961790026534.523,17202294727383.7,21692812296185.098,11315669575392.479,24279937875120.03
20910750752078.586,46196126785429.83,33726967002409.293,44028264999392.66,36442161500085.95,39898315119918.57,59770956873581.555,56683897038353.67,64654080504772.305,34589448564470,27592418332035.6,31095590112013.78,35516648041597.97,46455120569151.086,17389304106669.559,23972824034016.887,14707606770602.248,27408401487780.465,38932685874888.4,23684349304465.535,30364578307181.316,61227608053772.74,19330801094086.965,34373018201271.793,15919081899006.223,33757295928532.875,18225330411744.418,14286546213763.91,22090605709900.387,15506845040196.664,19091106404057.086,29350384832851.53,51907185859868.45,39900776347064.15,26420973281903.195,33340029435196.367,17373181200591.398,37305395337833.43
37025123799390.15,81765220047065.375,59701095339850.586,77883989808484.02,64500136405702.28,70686416160489.17,105920406421763.27,100376021399671.83,114685625170042.05,61302277939504.9,48862351990360.734,55042498748599.055,62900971324886.96,82389949728283.6,30768618785233.637,42462893270368.625,26036096099235.17,48558046141406.24,68973068834656.61,41890023070084.16,53735498978951.71,108536147321128.95,34203003447142.53,60820662192077.96,28156116173119.82,59743250630966.57,32229916394364.3,25267004052732.723,39103512964048.83,27430412161630.11,33779194603036.664,51907185859868.45,91859411329171.77,70594258379565.16,46784979032132.72,58982929200517.73,30778610163087.977,66026298648843.49
28448847302545.203,62833515778904.45,45876549813709.38,59863718595666.02,49566366111819.52,54299344280315.31,81351396157842.23,77120935890596.3,88045616840892.625,47084381920012.234,37539314098330.87,42297069753272.125,48326777756884.37,63246222138439.016,23648096025017.57,32621503553558.31,20007396720434.707,37302201094757.66,52983796680961.1,32200316930418.58,41296557132119.586,83322203355729.17,26287692308983.82,46744048932176.44,21643402662381.234,45912360133916.47,24775834004876.51,19422640487283.742,30048781620425.98,21084746263011.9,25961790026534.523,39900776347064.15,70594258379565.16,54258117646598.36,35947138619726.15,45335692583047,23644535036115.87,50739581292004.12
18867046454846.9,41649260801980.73,30413498964918.598,39651785095203.54,32854479775722.91,36040183116261.195,54012246733539.19,51150902153765.875,58533624701901.47,31266035239604.016,24902399947630.77,28041973594575.324,32059875994179.793,42037084891003.47,15669629797607.812,21645994136757.477,13265864748567.941,24757685120794.562,35164719185283.91,21325009348058.098,27368653777312.297,55340643421555.664,17418201933405.246,30972617811511.44,14334129536784.695,30429012350566.187,16404601290691.332,12861790193007.594,19921791970486.96,13966636100211.959,17202294727383.7,26420973281903.195,46784979032132.72,35947138619726.15,23843622565393.98,30034569967707.42,15693699960433.287,33634060729705.703
23768766540931.55,52497474116519.13,38329907115054.06,50019241844045.86,41412898674397.2,45364464666272.79,67959384187305.93,64430978071724.6,73543458454274.6,39335657668100.51,31363392046189.8,35340848595412.57,40376053699230.6,52823504223333.12,19759731713747.5,27254277514794.832,16717277894102.121,31164347095182.973,44265015382139.49,26906468811047.17,34504704176820.047,69584388776332.58,21965316439498.004,39056293171955.586,18085512790157.36,38360152947349.52,20702551131025.918,16229335640958.957,25106683362687.348,17618751797997.23,21692812296185.098,33340029435196.367,58982929200517.73,45335692583047,30034569967707.42,37882144986186.61,19754967732499.906,42395486094375.3
12417227338892.068,27403030777506.527,20012046018743.984,26077740686303.094,21616316192815.44,23730056255061.54,35568941420339.08,33666483390573.23,38574154757572.945,20592034132062.516,16390940129047.736,18451821022798.367,21103665368242.855,27698019304528.777,10307690186544.16,14250236314409.293,8729711745617.849,16301253796493.31,23152841091913.473,14023467179067.043,18005235477141.703,36448464342213.99,11457668872235.744,20373941650071.79,9426426898569.309,20019249457440.01,10786444213277.648,8457597807251.332,13108833191168.262,9185699291143.9375,11315669575392.479,17373181200591.398,30778610163087.977,23644535036115.87,15693699960433.287,19754967732499.906,10333380587066.4,22129422707564.2
26615078930310.31,58770829264119.72,42912977056696.62,55976519918696.98,46360994378038.766,50820801114081.055,76157399338573.5,72152696410723.77,82480590754704.66,44077381618336.6,35130305807803.875,39567744677429.84,45218215863767.65,59257936173662.836,22116046237287.04,30528078617805.15,18716420597770.703,34909772241259.332,49587719032785.805,30107723997088.38,38624181178647.234,78058381134792.3,24584807942953.98,43714730974073.086,20237257153026.805,42940850554539.56,23163743714821.656,18159762422174.44,28109232395833.01,19716426593232.1,24279937875120.03,37305395337833.43,66026298648843.49,50739581292004.12,33634060729705.703,42395486094375.3,22129422707564.2,47463435843998.22
