"","type","Model","M","NLL"
"398","20","m28",0.28,0
"399","21","m28",0.28,0
"400","1","m29",0.29,28.0168
"401","2","m29",0.29,3.49197e-06
"402","3","m29",0.29,30.7207
"403","4","m29",0.29,1.2646
"404","5","m29",0.29,2.20289
"405","6","m29",0.29,6.39057
"406","7","m29",0.29,0
"407","8","m29",0.29,1.30938
"408","9","m29",0.29,69.9529
"409","10","m29",0.29,30.3328
"410","11","m29",0.29,0.306025
"411","12","m29",0.29,112.748
"412","13","m29",0.29,142.358
"413","14","m29",0.29,34.1544
"414","15","m29",0.29,7.18697
"415","16","m29",0.29,17.9607
"416","17","m29",0.29,0
"417","18","m29",0.29,3.37556
"418","19","m29",0.29,2.51646
"419","20","m29",0.29,0
"420","21","m29",0.29,0
"421","1","m30",0.3,28.0617
"422","2","m30",0.3,3.42476e-06
"423","3","m30",0.3,30.7216
"424","4","m30",0.3,1.23514
"425","5","m30",0.3,2.21471
"426","6","m30",0.3,6.40428
"427","7","m30",0.3,0
"428","8","m30",0.3,1.37696
"429","9","m30",0.3,70.2712
"430","10","m30",0.3,30.4795
"431","11","m30",0.3,0.307431
"432","12","m30",0.3,113.078
"433","13","m30",0.3,142.993
"434","14","m30",0.3,34.27
"435","15","m30",0.3,7.07612
"436","16","m30",0.3,18.0375
"437","17","m30",0.3,0
"438","18","m30",0.3,3.38199
"439","19","m30",0.3,2.52949
"440","20","m30",0.3,0
"441","21","m30",0.3,0
